Rank,Club / Country,Points,1-yr change
1,Manchester CityEngland,2084,22022
2,Bayern MünchenGermany,2020,12032
3,Real MadridSpain,1987,12025
4,Inter MilanItaly,1970,41889
5,Liverpool FCEngland,1911,01954
,,,
6,ArsenalEngland,1907,41874
7,BarcelonaSpain,1892,01890
8,Atlético MadridSpain,1890,111808
9,RB LeipzigGermany,1869,141792
10,FC PortoPortugal,1865,41840
11,Bayer LeverkusenGermany,1863,601659
12,Paris Saint-GermainFrance,1850,61914
13,Real SociedadSpain,1848,191748
14,Borussia DortmundGermany,1848,41809
15,SSC NapoliItaly,1836,112012
16,JuventusItaly,1832,201743
17,PSV EindhovenNetherlands,1815,201732
18,Aston VillaEngland,1812,1111597
19,FeyenoordNetherlands,1810,291704
20,AC MilanItaly,1799,91873
21,BenficaPortugal,1796,121877
22,Newcastle UnitedEngland,1796,31784
23,GironaSpain,1782,2181527
24,SportingPortugal,1782,101744
25,LazioItaly,1781,21781
26,Tottenham HotspurEngland,1772,91820
27,Brighton & Hove AlbionEngland,1763,141721
28,AtalantaItaly,1754,51785
29,Brentford FCEngland,1749,701617
30,Manchester UnitedEngland,1739,101804
31,Slavia PragueCzech Republic,1739,151705
32,Real BetisSpain,1731,151805
33,Red Bull SalzburgAustria,1731,51755
34,RomaItaly,1730,91778
35,LensFrance,1729,81706
36,FiorentinaItaly,1724,681611
37,Eintracht FrankfurtGermany,1719,01722
38,Chelsea FCEngland,1716,291862
39,NiceFrance,1714,911588
40,Flora TallinnEstonia,1714,51730
41,BragaPortugal,1713,101689
42,Athletic BilbaoSpain,1712,41719
43,BolognaItaly,1712,1171562
44,Shakhtar DonetskUkraine,1711,181756
45,FK Red Star BelgradeSerbia,1709,161747
46,VfB StuttgartGermany,1699,1471548
47,Sparta PragueCzech Republic,1698,481618
48,West Ham UnitedEngland,1695,131667
49,LilleFrance,1694,91670
50,GalatasarayTurkey,1692,1491545
51,FenerbahçeTurkey,1690,91665
52,CelticScotland,1689,31677
53,Zenit St. PetersburgRussia,1685,71685
54,FreiburgGermany,1683,351762
55,RangersScotland,1683,131693
,,,
56,The New SaintsWales,1682,31662
57,AZ AlkmaarNetherlands,1682,81653
58,MonacoFrance,1679,241714
59,MarseilleFrance,1676,261718
60,OlympiakosGreece,1675,61652
61,SevillaSpain,1669,81669
62,PFC Ludogorets 1945 RazgradBulgaria,1667,31662
63,TorinoItaly,1667,131643
64,AC MonzaItaly,1666,2281500
65,FC TwenteNetherlands,1664,421603
66,Partizan BeogradSerbia,1660,241690
67,VillarrealSpain,1659,561800
68,Ajax AmsterdamNetherlands,1659,641827
69,FCI Levadia TallinnEstonia,1654,91659
70,Crystal PalaceEngland,1652,211670
71,HoffenheimGermany,1649,51647
72,Dinamo ZagrebCroatia,1641,271673
73,RennesFrance,1638,541744
74,ValenciaSpain,1636,131614
75,Wolverhampton WanderersEngland,1632,1071546
76,Young BoysSwitzerland,1632,81643
77,Borussia MönchengladbachGermany,1632,171647
78,PFC CSKA SofiaBulgaria,1631,481578
79,PAOK FCGreece,1629,441582
80,Union St.GilloiseBelgium,1629,181603
81,GetafeSpain,1628,61611
82,AEKGreece,1628,481569
83,PanathinaikosGreece,1626,71606
84,Rayo VallecanoSpain,1625,321584
85,WolfsburgGermany,1623,111620
86,Maccabi Tel AvivIsrael,1621,01609
87,Everton FCEngland,1619,171622
88,FC SheriffMoldova,1618,351649
89,Nottingham ForestEngland,1612,2131491
90,LeganesSpain,1612,111612
91,LevanteSpain,1612,111612
92,BeşiktaşTurkey,1610,1201529
93,FulhamEngland,1610,791547
94,QarabağAzerbaijan,1609,21602
95,Bodø / GlimtNorway,1609,261578
96,Slovan BratislavaSlovakia,1606,11601
97,KRC GenkBelgium,1605,91587
98,GentBelgium,1601,951536
99,Leicester CityEngland,1598,551654
100,Dynamo KyivUkraine,1597,51599
101,OsasunaSpain,1596,351620
102,Shamrock RoversIreland,1593,81583
103,KøbenhavnDenmark,1593,451555
104,MontpellierFrance,1588,3301444
105,Dinamo MinskBelarus,1587,701544
,,,
106,ReimsFrance,1585,1051525
107,MallorcaSpain,1583,321558
108,Club BruggeBelgium,1583,921697
109,SC Dnipro-1Ukraine,1583,731541
110,UdineseItaly,1579,1091726
111,MainzGermany,1579,901677
112,APOEL NicosiaCyprus,1579,681540
113,Litex LovechBulgaria,1573,41573
114,Molde FKNorway,1573,601626
115,Maccabi Haifa FCIsrael,1572,241591
116,CSKA MoskvaRussia,1572,61572
117,LyonFrance,1570,911666
118,CFR ClujRomania,1570,301598
119,Dinamo MoskvaRussia,1567,41567
120,Dacia ChisinauMoldova,1567,31567
121,SassuoloItaly,1565,821645
122,Cádiz CFSpain,1565,61560
123,Sturm GrazAustria,1565,611536
124,Royal Antwerp FCBelgium,1564,921517
125,1. FC KölnGermany,1564,921650
126,FerencvárosHungary,1562,461601
127,1. FC Union BerlinGermany,1561,1461784
128,Viktoria PlzeňCzech Republic,1561,1161677
129,RSC AnderlechtBelgium,1560,731523
130,BrestFrance,1560,2661451
131,Hajduk SplitCroatia,1559,71553
132,BATE BorisovBelarus,1557,501590
133,TrabzonsporTurkey,1556,631603
134,SD HuescaSpain,1553,41553
135,Shakhtyor SoligorskBelarus,1552,881615
136,Steaua BucureştiRomania,1552,521525
137,Empoli FCItaly,1550,951503
138,LecceItaly,1549,2181459
139,Apollon LimassolCyprus,1548,391566
140,AugsburgGermany,1547,211556
141,RCD EspanyolSpain,1546,141542
142,Lokomotiv MoskvaRussia,1544,01544
143,GenoaItaly,1543,611512
144,FC MidtjyllandDenmark,1543,401558
145,BochumGermany,1542,781501
