Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
1,Girona,13,11,1,1,31,16,15,34,2.62,25.0,16.8,8.2,0.63,W W W W W,"12,442",Artem Dovbyk - 7,Paulo Gazzaniga,,22,26.6,56.1,13,143,"1,170",13.0,31,24,55,30,1,1,31,0,25.0,24.2,20.3,44.6,285.0,535.0,2.38,1.85,4.23,2.31,4.15,1.92,1.57,3.49,1.86,3.43
2,Real Madrid,13,10,2,1,28,9,19,32,2.46,24.0,14.0,10.0,0.77,W D W D W,"69,236",Jude Bellingham - 10,Kepa Arrizabalaga,,22,27.7,57.4,13,143,"1,170",13.0,28,22,50,28,0,2,23,1,24.0,22.6,18.0,40.6,337.0,650.0,2.15,1.69,3.85,2.15,3.85,1.84,1.38,3.23,1.74,3.12
3,Barcelona,13,9,3,1,26,13,13,30,2.31,26.8,13.5,13.3,1.02,D W L W W,"42,219",Robert Lewandowski - 7,Marc-André ter Stegen,,24,26.7,66.0,13,143,"1,170",13.0,25,16,41,23,2,2,29,1,26.8,25.2,18.7,43.9,367.0,646.0,1.92,1.23,3.15,1.77,3.0,2.06,1.44,3.5,1.94,3.38
4,Atlético Madrid,12,9,1,2,29,12,17,28,2.33,22.8,10.2,12.7,1.05,W W W L W,"58,486",Antoine Griezmann - 8,Jan Oblak,,22,29.7,51.2,12,132,"1,080",12.0,29,19,48,27,2,2,28,1,22.8,21.4,18.5,39.9,230.0,522.0,2.42,1.58,4.0,2.25,3.83,1.9,1.54,3.44,1.79,3.33
5,Athletic Club,13,7,3,3,25,17,8,24,1.85,23.6,14.8,8.8,0.67,W L D W W,"44,845",Gorka Guruzeta - 6,Unai Simón,,23,28.0,51.7,13,143,"1,170",13.0,25,17,42,22,3,3,37,2,23.6,21.2,16.7,37.9,249.0,542.0,1.92,1.31,3.23,1.69,3.0,1.82,1.28,3.1,1.63,2.92
6,Real Sociedad,13,6,4,3,23,16,7,22,1.69,18.2,15.8,2.4,0.18,L W D L W,"32,234",Mikel Oyarzabal - 7,Álex Remiro,,24,26.1,53.8,13,143,"1,170",13.0,22,15,37,19,3,3,36,0,18.2,15.9,12.1,27.9,234.0,426.0,1.69,1.15,2.85,1.46,2.62,1.4,0.93,2.33,1.22,2.15
7,Betis,13,5,6,2,17,16,1,21,1.62,15.8,15.4,0.4,0.03,D D W W D,"51,447",Willian José - 5,Claudio Bravo,,29,28.4,51.8,13,143,"1,170",13.0,17,11,28,17,0,0,27,1,15.8,15.8,13.0,28.7,257.0,528.0,1.31,0.85,2.15,1.31,2.15,1.21,1.0,2.21,1.21,2.21
8,Las Palmas,13,5,3,5,11,12,-1,18,1.38,11.7,14.9,-3.2,-0.25,W L W W D,"21,214","Jonathan Viera, Marc Cardona... - 2",Álvaro Vallés,,24,26.5,57.6,13,143,"1,170",13.0,11,6,17,8,3,4,32,1,11.7,8.5,7.3,15.8,209.0,534.0,0.85,0.46,1.31,0.62,1.08,0.9,0.56,1.45,0.66,1.21
9,Valencia,13,5,3,5,16,18,-2,18,1.38,15.0,14.1,0.9,0.07,D W D W L,"43,277",Hugo Duro - 6,Giorgi Mamardashvili,,24,24.4,47.4,13,143,"1,170",13.0,16,11,27,14,2,2,24,1,15.0,13.4,10.4,23.8,222.0,415.0,1.23,0.85,2.08,1.08,1.92,1.15,0.8,1.95,1.03,1.83
10,Rayo Vallecano,13,4,6,3,15,17,-2,18,1.38,17.8,22.4,-4.6,-0.35,D W D D L,"12,818",Álvaro García - 4,Stole Dimitrievski,,23,30.2,46.8,13,143,"1,170",13.0,15,8,23,10,5,5,39,2,17.8,13.9,9.6,23.5,158.0,450.0,1.15,0.62,1.77,0.77,1.38,1.37,0.74,2.11,1.07,1.8
11,Getafe,13,3,7,3,15,17,-2,16,1.23,14.0,17.7,-3.7,-0.29,D D D W D,"11,546",Borja Mayoral - 7,David Soria,,24,28.5,40.8,13,143,"1,170",13.0,15,12,27,13,2,2,59,4,14.0,12.4,9.0,21.4,140.0,351.0,1.15,0.92,2.08,1.0,1.92,1.08,0.69,1.76,0.95,1.64
12,Osasuna,13,4,2,7,15,21,-6,14,1.08,14.2,18.2,-3.9,-0.3,L W L L D,"20,357",Ante Budimir - 7,Sergio Herrera,,22,28.4,47.8,13,143,"1,170",13.0,15,9,24,12,3,3,32,3,14.2,11.9,9.3,21.2,194.0,480.0,1.15,0.69,1.85,0.92,1.62,1.1,0.72,1.81,0.91,1.63
13,Sevilla,12,2,6,4,18,17,1,12,1.0,14.1,18.9,-4.7,-0.4,D D D D D,"37,007",Youssef En-Nesyri - 4,Ørjan Nyland,,27,29.8,55.1,12,132,"1,080",12.0,16,9,25,16,0,0,39,1,14.1,14.1,10.8,24.9,226.0,520.0,1.33,0.75,2.08,1.33,2.08,1.18,0.9,2.08,1.18,2.08
14,Villarreal,13,3,3,7,18,24,-6,12,0.92,16.4,23.3,-6.9,-0.53,L D W L L,"18,231",Gerard Moreno - 8,Filip Jørgensen,,25,28.2,54.5,13,143,"1,170",13.0,18,12,30,15,3,3,42,3,16.4,14.1,11.4,25.4,210.0,523.0,1.38,0.92,2.31,1.15,2.08,1.26,0.87,2.14,1.08,1.96
15,Alavés,13,3,3,7,11,18,-7,12,0.92,17.6,16.1,1.5,0.11,D D L W L,"17,512",Samuel Omorodion - 3,Antonio Sivera,,23,26.8,43.8,13,143,"1,170",13.0,9,8,17,9,0,2,30,1,17.6,16.0,12.0,28.0,193.0,462.0,0.69,0.62,1.31,0.69,1.31,1.35,0.92,2.28,1.23,2.15
16,Cádiz,12,2,4,6,10,17,-7,10,0.83,10.0,17.0,-7.0,-0.58,L L L D L,"18,391","Darwin Machís, Chris Ramos - 3",Jeremías Ledesma,,26,29.4,39.7,12,132,"1,080",12.0,10,6,16,9,1,1,37,4,10.0,9.3,6.5,15.7,137.0,259.0,0.83,0.5,1.33,0.75,1.25,0.84,0.54,1.38,0.77,1.31
17,Mallorca,12,1,6,5,12,18,-6,9,0.75,13.8,17.7,-3.9,-0.33,D D L D L,"17,545","Abdón Prats, Vedat Muriqi - 4",Predrag Rajković,,21,28.8,41.8,12,132,"1,080",12.0,12,9,21,11,1,3,37,2,13.8,11.5,9.4,20.9,152.0,281.0,1.0,0.75,1.75,0.92,1.67,1.15,0.78,1.93,0.96,1.74
18,Celta Vigo,13,1,4,8,14,24,-10,7,0.54,18.1,21.2,-3.1,-0.24,D L L D L,"19,447",Jørgen Strand Larsen - 4,Iván Villar,,24,26.9,43.0,13,143,"1,170",13.0,13,9,22,13,0,2,24,3,18.1,16.7,13.2,29.9,234.0,407.0,1.0,0.69,1.69,1.0,1.69,1.39,1.02,2.41,1.28,2.3
19,Granada,13,1,4,8,18,30,-12,7,0.54,16.2,26.8,-10.5,-0.81,D L L L D,"17,866",Bryan Zaragoza - 5,André Ferreira,,27,27.5,45.1,13,143,"1,170",13.0,17,15,32,15,2,3,38,2,16.2,13.9,12.1,26.0,190.0,332.0,1.31,1.15,2.46,1.15,2.31,1.25,0.93,2.18,1.07,2.0
20,Almería,13,0,3,10,15,35,-20,3,0.23,17.1,23.5,-6.4,-0.49,L L L L L,"14,325",Sergio Arribas - 5,Luís Maximiano,,27,25.7,47.9,13,143,"1,170",13.0,15,9,24,14,1,1,30,1,17.1,16.3,12.3,28.6,197.0,373.0,1.15,0.69,1.85,1.08,1.77,1.31,0.95,2.26,1.25,2.2
1,Manchester City,12,9,1,2,32,12,20,28,2.33,24.4,11.1,13.3,1.11,L W W W D,"42,627",Erling Haaland - 13,Ederson,,25,26.8,62.5,12,132,"1,080",12.0,32,24,56,29,3,4,23,2,24.4,21.3,18.5,39.8,340.0,608.0,2.67,2.0,4.67,2.42,4.42,2.03,1.54,3.58,1.78,3.32
2,Liverpool,12,8,3,1,27,10,17,27,2.25,26.5,14.5,12.0,1.0,D W W D W,"50,648",Mohamed Salah - 10,Alisson,,22,27.2,58.5,12,132,"1,080",12.0,25,17,42,22,3,4,22,4,26.5,23.2,19.0,42.2,277.0,632.0,2.08,1.42,3.5,1.83,3.25,2.21,1.58,3.79,1.93,3.52
